Wavelength Signal SignalFiltered 
830.5 1665.7 1287.5
831.0 1660.7 1286.9
831.6 1659.2 1285.6
832.2 1657.3 1283.6
832.7 1660.8 1283.2
833.3 1660.9 1283.6
833.8 1657.9 1284.7
834.4 1661.2 1284.9
834.9 1664.9 1284.8
835.5 1663.9 1284.9
836.0 1661.9 1285.3
836.6 1663.2 1283.3
837.1 1661.6 1280.9
837.7 1655.5 1283.6
838.2 1649.8 1282.3
838.8 1645.1 1281.3
839.3 1634.8 1281.8
839.9 1626.7 1283.3
840.4 1618.7 1282.4
841.0 1611.2 1279.3
841.5 1599.2 1281.4
842.1 1585.7 1280.8
842.6 1573.0 1280.0
843.2 1561.2 1279.6
843.8 1552.4 1274.9
844.3 1540.9 1270.6
844.9 1528.7 1265.3
845.4 1514.7 1261.4
846.0 1503.0 1256.9
846.5 1494.7 1247.7
847.1 1488.5 1239.4
847.6 1483.4 1231.9
848.2 1478.1 1226.6
848.7 1471.2 1221.0
849.3 1466.1 1214.3
849.8 1463.7 1209.7
850.4 1463.6 1200.5
850.9 1462.4 1195.0
851.5 1459.1 1192.2
852.0 1455.4 1188.7
852.6 1456.2 1183.6
853.1 1456.9 1176.9
853.7 1457.5 1172.2
854.2 1461.1 1167.4
854.8 1458.7 1161.5
855.3 1459.1 1162.3
855.9 1456.1 1159.3
856.4 1456.0 1154.6
857.0 1458.3 1150.7
857.5 1457.9 1143.5
858.1 1455.2 1140.8
858.6 1455.4 1136.3
859.2 1452.3 1133.6
859.7 1451.7 1130.9
860.3 1450.7 1124.9
860.8 1451.3 1117.8
861.4 1449.4 1114.4
861.9 1445.5 1109.1
862.5 1440.4 1107.7
863.0 1436.6 1102.8
863.6 1430.0 1099.7
864.1 1425.4 1095.4
864.7 1420.5 1090.5
865.2 1411.6 1089.0
865.8 1408.0 1087.4
866.3 1403.8 1084.3
866.9 1399.6 1081.1
867.4 1395.3 1078.9
868.0 1389.9 1074.8
868.5 1384.7 1069.9
869.1 1379.7 1066.9
